     0.063      0.000
     0.106      0.000
     0.148      0.000
     0.190      0.000
     0.232      0.000
     0.275      0.000
     0.317      0.000
     0.359      0.000
     0.401      0.000
     0.444      0.000
     0.486      0.000
     0.528      0.000
     0.570      0.000
     0.613      0.000
     0.655      0.000
     0.697      0.000
     0.740      0.000
     0.782      0.000
     0.824      0.000
     0.866      0.000
     0.909      0.000
     0.951      0.000
     0.993      0.000
     1.035      0.000
     1.078      0.000
     1.120      0.000
     1.162      0.000
     1.204      0.000
     1.247      0.000
     1.289      0.000
     1.331      0.000
     1.373      0.000
     1.416      0.000
     1.458      0.000
     1.500      0.000
     1.542      0.000
     1.585      0.000
     1.627      0.000
     1.669      0.000
     1.711      0.000
     1.754      0.000
     1.796      0.000
     1.838      0.000
     1.880      0.000
     1.923      0.000
     1.965      0.000
     2.007      0.000
     2.050      0.000
     2.092      0.000
     2.134      0.000
     2.176      0.000
     2.219      0.000
     2.261      0.000
     2.303      0.000
     2.345      0.000
     2.388      0.000
     2.430      0.000
     2.472      0.000
     2.514      0.000
     2.557      0.000
     2.599      0.000
     2.641      0.000
     2.683      0.000
     2.726      0.000
     2.768      0.000
     2.810      0.000
     2.852      0.000
     2.895      0.001
     2.937      0.010
     2.979      0.031
     3.021      0.076
     3.064      0.132
     3.106      0.258
     3.148      0.406
     3.191      0.565
     3.233      0.786
     3.275      0.980
     3.317      1.185
     3.360      1.322
     3.402      1.482
     3.444      1.646
     3.486      1.725
     3.529      1.781
     3.571      1.856
     3.613      1.792
     3.655      1.827
     3.698      1.827
     3.740      1.776
     3.782      1.785
     3.824      1.672
     3.867      1.698
     3.909      1.620
     3.951      1.568
     3.993      1.584
     4.036      1.504
     4.078      1.483
     4.120      1.419
     4.162      1.394
     4.205      1.341
     4.247      1.323
     4.289      1.320
     4.331      1.222
     4.374      1.200
     4.416      1.195
     4.458      1.185
     4.501      1.127
     4.543      1.114
     4.585      1.078
     4.627      1.053
     4.670      1.043
     4.712      1.024
     4.754      1.016
     4.796      0.980
     4.839      0.986
     4.881      0.954
     4.923      0.936
     4.965      0.913
     5.008      0.916
     5.050      0.886
     5.092      0.871
     5.134      0.911
     5.177      0.865
     5.219      0.888
     5.261      0.866
     5.303      0.880
     5.346      0.853
     5.388      0.860
     5.430      0.861
     5.472      0.873
     5.515      0.866
     5.557      0.854
     5.599      0.837
     5.641      0.869
     5.684      0.850
     5.726      0.856
     5.768      0.856
     5.811      0.870
     5.853      0.866
     5.895      0.885
     5.937      0.870
     5.980      0.885
     6.022      0.886
     6.064      0.914
     6.106      0.890
     6.149      0.905
     6.191      0.914
     6.233      0.915
     6.275      0.937
     6.318      0.937
     6.360      0.960
     6.402      0.977
     6.444      0.964
     6.487      0.979
     6.529      0.996
     6.571      0.994
     6.613      0.999
     6.656      1.005
     6.698      1.021
     6.740      1.025
     6.782      1.019
     6.825      1.022
     6.867      1.037
     6.909      1.067
     6.952      1.068
     6.994      1.027
     7.036      1.058
     7.078      1.058
     7.121      1.061
     7.163      1.052
     7.205      1.067
     7.247      1.079
     7.290      1.073
     7.332      1.068
     7.374      1.067
     7.416      1.055
     7.459      1.059
     7.501      1.065
     7.543      1.043
     7.585      1.069
     7.628      1.049
     7.670      1.044
     7.712      1.059
     7.754      1.037
     7.797      1.048
     7.839      1.028
     7.881      1.014
     7.923      1.021
     7.966      1.019
     8.008      1.015
     8.050      1.016
     8.092      1.017
     8.135      1.018
     8.177      1.006
     8.219      0.995
     8.262      1.008
     8.304      1.004
     8.346      0.976
     8.388      1.001
     8.431      1.001
     8.473      0.980
     8.515      0.978
     8.557      0.994
     8.600      0.976
     8.642      0.976
     8.684      0.973
     8.726      0.986
     8.769      0.971
     8.811      0.979
     8.853      0.974
     8.895      0.968
     8.938      0.972
     8.980      0.961
     9.022      0.983
     9.064      0.983
     9.107      0.971
     9.149      0.970
     9.191      0.964
     9.233      0.986
     9.276      0.976
     9.318      0.967
     9.360      0.993
     9.402      0.985
     9.445      0.976
     9.487      0.988
     9.529      0.994
     9.572      0.991
     9.614      0.976
     9.656      0.984
     9.698      0.985
     9.741      0.999
     9.783      0.987
     9.825      0.987
     9.867      0.984
     9.910      0.990
     9.952      0.982
     9.994      0.988
    10.036      0.989
    10.079      1.009
    10.121      0.998
    10.163      1.016
    10.205      0.995
    10.248      1.018
    10.290      1.008
    10.332      1.009
    10.374      1.011
    10.417      1.012
    10.459      1.009
    10.501      1.014
    10.543      1.011
