    Step      Energy    Pressure     Density
             kcal/mol     psi        volume
     4725   -116.634      0.439      0.600
     4750   -115.902      0.438      0.600
     4775   -114.897      0.444      0.600
     4800   -120.506      0.370      0.600
     4825   -117.857      0.421      0.600
     4850   -111.243      0.533      0.600
     4875   -110.710      0.557      0.600
     4900   -109.028      0.581      0.600
     4925   -112.287      0.529      0.600
     4950   -113.222      0.503      0.600
     4975   -116.932      0.452      0.600
     5000   -112.888      0.516      0.600
     5025   -114.633      0.512      0.600
     5050   -110.615      0.587      0.600
     5075   -107.994      0.626      0.600
     5100   -117.435      0.486      0.600
     5125   -118.112      0.459      0.600
     5150   -121.095      0.403      0.600
     5175   -123.681      0.351      0.600
     5200   -119.648      0.398      0.600
     5225   -113.134      0.478      0.600
     5250   -117.563      0.410      0.600
     5275   -116.119      0.429      0.600
     5300   -113.059      0.478      0.600
     5325   -113.222      0.487      0.600
     5350   -113.005      0.499      0.600
     5375   -120.805      0.401      0.600
     5400   -120.332      0.416      0.600
     5425   -117.298      0.465      0.600
     5450   -117.341      0.459      0.600
     5475   -120.976      0.395      0.600
     5500   -120.556      0.393      0.600
     5525   -118.664      0.418      0.600
     5550   -115.812      0.459      0.600
     5575   -113.073      0.499      0.600
     5600   -115.101      0.469      0.600
     5625   -118.551      0.421      0.600
     5650   -117.440      0.433      0.600
     5675   -122.205      0.369      0.600
     5700   -119.889      0.408      0.600
     5725   -114.066      0.492      0.600
     5750   -116.141      0.465      0.600
     5775   -114.856      0.484      0.600
     5800   -111.562      0.533      0.600
     5825   -115.247      0.485      0.600
     5850   -116.407      0.465      0.600
     5875   -116.692      0.458      0.600
     5900   -112.545      0.510      0.600
     5925   -116.164      0.457      0.600
     5950   -117.373      0.434      0.600
     5975   -114.279      0.467      0.600
     6000   -116.866      0.428      0.600
     6025   -116.825      0.425      0.600
     6050   -121.710      0.366      0.600
     6075   -118.833      0.431      0.600
     6100   -108.662      0.599      0.600
     6125   -104.103      0.675      0.600
     6150   -108.192      0.619      0.600
     6175   -108.325      0.604      0.600
     6200   -107.909      0.585      0.600
     6225   -116.988      0.437      0.600
     6250   -117.100      0.421      0.600
     6275   -114.093      0.461      0.600
     6300   -119.517      0.393      0.600
     6325   -119.949      0.396      0.600
     6350   -115.416      0.472      0.600
     6375   -114.649      0.501      0.600
     6400   -109.420      0.581      0.600
     6425   -110.176      0.571      0.600
     6450   -113.757      0.506      0.600
     6475   -121.252      0.381      0.600
     6500   -119.303      0.396      0.600
     6525   -114.148      0.470      0.600
     6550   -112.874      0.500      0.600
     6575   -111.493      0.522      0.600
     6600   -113.389      0.491      0.600
     6625   -119.735      0.404      0.600
     6650   -116.323      0.454      0.600
     6675   -114.230      0.489      0.600
     6700   -112.372      0.510      0.600
     6725   -120.674      0.390      0.600
     6750   -122.044      0.370      0.600
     6775   -114.485      0.482      0.600
     6800   -111.259      0.533      0.600
     6825   -117.781      0.446      0.600
     6850   -120.240      0.411      0.600
     6875   -120.656      0.407      0.600
     6900   -117.424      0.458      0.600
     6925   -113.790      0.510      0.600
     6950   -114.955      0.486      0.600
     6975   -119.873      0.410      0.600
     7000   -120.165      0.404      0.600
     7025   -112.997      0.502      0.600
     7050   -115.071      0.478      0.600
     7075   -111.535      0.530      0.600
     7100   -110.238      0.561      0.600
     7125   -111.228      0.555      0.600
     7150   -115.388      0.491      0.600
     7175   -120.901      0.409      0.600
     7200   -120.313      0.415      0.600
     7225   -119.139      0.427      0.600
     7250   -114.845      0.473      0.600
     7275   -118.239      0.411      0.600
     7300   -122.138      0.345      0.600
     7325   -122.123      0.349      0.600
     7350   -117.460      0.427      0.600
     7375   -114.098      0.480      0.600
     7400   -119.623      0.403      0.600
     7425   -120.416      0.387      0.600
     7450   -117.210      0.432      0.600
     7475   -119.269      0.407      0.600
     7500   -122.595      0.367      0.600
     7525   -117.743      0.448      0.600
     7550   -108.496      0.590      0.600
     7575   -111.964      0.554      0.600
     7600   -113.867      0.530      0.600
     7625   -115.238      0.510      0.600
     7650   -117.895      0.477      0.600
     7675   -115.175      0.519      0.600
     7700   -114.899      0.533      0.600
     7725   -106.705      0.649      0.600
     7750   -109.619      0.607      0.600
     7775   -118.508      0.470      0.600
     7800   -123.850      0.380      0.600
     7825   -120.047      0.425      0.600
     7850   -117.613      0.453      0.600
     7875   -121.065      0.401      0.600
     7900   -114.457      0.492      0.600
     7925   -111.381      0.543      0.600
     7950   -110.043      0.567      0.600
     7975   -116.160      0.491      0.600
     8000   -115.685      0.502      0.600
     8025   -115.860      0.506      0.600
     8050   -112.443      0.559      0.600
     8075   -110.250      0.595      0.600
     8100   -113.208      0.559      0.600
     8125   -117.417      0.506      0.600
     8150   -111.282      0.594      0.600
     8175   -109.678      0.621      0.600
     8200   -114.966      0.536      0.600
     8225   -123.192      0.401      0.600
     8250   -120.766      0.414      0.600
     8275   -119.717      0.418      0.600
     8300   -118.558      0.430      0.600
     8325   -113.265      0.508      0.600
     8350   -113.801      0.515      0.600
     8375   -109.729      0.582      0.600
     8400   -106.412      0.630      0.600
     8425   -111.364      0.559      0.600
     8450   -117.736      0.471      0.600
     8475   -116.480      0.494      0.600
     8500   -107.922      0.621      0.600
     8525   -108.568      0.609      0.600
     8550   -115.568      0.493      0.600
     8575   -114.616      0.483      0.600
     8600   -116.558      0.444      0.600
     8625   -115.885      0.444      0.600
     8650   -120.456      0.373      0.600
     8675   -123.349      0.333      0.600
     8700   -120.308      0.386      0.600
     8725   -117.251      0.443      0.600
     8750   -112.701      0.513      0.600
     8775   -110.893      0.540      0.600
     8800   -114.645      0.487      0.600
     8825   -122.014      0.379      0.600
     8850   -123.124      0.364      0.600
     8875   -115.953      0.471      0.600
     8900   -117.137      0.459      0.600
